tvBench_id,db_id,chart,hardness,query,question,vega_zero
1000@y_name@DESC,customers_and_products_contacts,Bar,Medium,"Visualize BAR SELECT product_name , COUNT(product_name) FROM products GROUP BY product_name ORDER BY COUNT(product_name) DESC","Bar chart x axis product name y axis how many product name , rank by the Y-axis in desc .",mark bar data products encoding x product_name y aggregate count product_name transform group x sort y desc
2463@x_name@ASC,network_2,Bar,Easy,"Visualize BAR SELECT job , min(age) FROM Person GROUP BY job ORDER BY job ASC","how old is the youngest person for each job ? , and could you order x-axis from low to high order ?",mark bar data person encoding x job y aggregate min age transform group x sort x asc
2545@y_name@DESC,pets_1,Bar,Medium,"Visualize BAR SELECT PetType , avg(pet_age) FROM pets GROUP BY pettype ORDER BY avg(pet_age) DESC","Please give me a bar chart to show the average age for each type of pet , rank the average of pet age from high to low order .",mark bar data pets encoding x pettype y aggregate mean pet_age transform group x sort y desc
2615@y_name@ASC,products_for_hire,Bar,Extra Hard,"Visualize BAR SELECT payment_date , COUNT(payment_date) FROM payments WHERE amount_paid > 300 OR payment_type_code = 'Check'  ORDER BY COUNT(payment_date) ASC BIN payment_date BY MONTH","What are the payment date of the payment with amount paid higher than 300 or with payment type is 'Check , and count them by a bar chart , order by the y axis from low to high .",mark bar data payments encoding x payment_date y aggregate count payment_date transform filter amount_paid > 300 or payment_type_code = 'check' sort y asc bin x by month
1304,election,Bar,Easy,"Visualize BAR SELECT County_name , Population FROM county",What are the name and population of each county . Plot them as bar chart .,mark bar data county encoding x county_name y aggregate none population
2928@y_name@DESC,swimming,Bar,Medium,"Visualize BAR SELECT Nationality , COUNT(Nationality) FROM swimmer GROUP BY Nationality ORDER BY COUNT(Nationality) DESC","Return a bar chart about the distribution of Nationality and the amount of Nationality , and group by attribute Nationality , and list in descending by the Y-axis .",mark bar data swimmer encoding x nationality y aggregate count nationality transform group x sort y desc
2195,manufactory_1,Scatter,Easy,"Visualize SCATTER SELECT Code , Price FROM products WHERE price BETWEEN 60 AND 120","For those products with a price between 60 and 120 , draw a scatter chart about the correlation between code and price .",mark point data products encoding x code y aggregate none price transform filter price between 60 and 120
3261@x_name@DESC,workshop_paper,Bar,Medium,"Visualize BAR SELECT Result , COUNT(Result) FROM acceptance GROUP BY Result ORDER BY Result DESC","Group by the result and count them by a bar chart , could you list by the x-axis in descending ?",mark bar data acceptance encoding x result y aggregate count result transform group x sort x desc
475,cinema,Bar,Medium,"Visualize BAR SELECT Openning_year , COUNT(Openning_year) FROM cinema GROUP BY Openning_year ORDER BY openning_year DESC",Give me a bar chart showing the number of cinemas open for each year in descending order of opening year .,mark bar data cinema encoding x openning_year y aggregate count openning_year transform group x sort x desc
753@y_name@ASC,cre_Doc_Template_Mgt,Bar,Medium,"Visualize BAR SELECT Template_Type_Code , count(*) FROM Templates GROUP BY template_type_code ORDER BY count(*) ASC","Show all template type codes and number of templates for each with a bar chart , and I want to list in ascending by the Y-axis please .",mark bar data templates encoding x template_type_code y aggregate count template_type_code transform group x sort y asc
1408@y_name@ASC,flight_1,Bar,Medium,"Visualize BAR SELECT destination , count(*) FROM Flight GROUP BY destination ORDER BY count(*) ASC","What are the destinations and number of flights to each one Visualize by bar chart , and I want to sort from low to high by the y-axis .",mark bar data flight encoding x destination y aggregate count destination transform group x sort y asc
2067,loan_1,Pie,Medium,"Visualize PIE SELECT acc_type , avg(acc_bal) FROM customer WHERE credit_score < 50 GROUP BY acc_type","For each account type , find the average account balance of customers with credit score lower than 50 . Show a pie chart .",mark arc data customer encoding x acc_type y aggregate mean acc_bal transform filter credit_score < 50 group x
1832@y_name@DESC,hr_1,Bar,Extra Hard,"Visualize BAR SELECT HIRE_DATE , AVG(SALARY) FROM employees WHERE first_name NOT LIKE '%M%'  ORDER BY AVG(SALARY) DESC BIN HIRE_DATE BY WEEKDAY","Bin the hire date into the day of week interval , and then calculate the average salary of employees in each day for a bar chart , note that just select those employees without the letter M in their first name , display the average of salary from high to low order .",mark bar data employees encoding x hire_date y aggregate mean salary transform filter first_name not like '%m%' sort y desc bin x by weekday
2018@y_name@DESC,insurance_policies,Bar,Medium,"Visualize BAR SELECT Date_Claim_Settled , COUNT(Date_Claim_Settled) FROM Settlements  ORDER BY COUNT(Date_Claim_Settled) DESC BIN Date_Claim_Settled BY WEEKDAY","Bar chart x axis date claim settled y axis the number of date claim settled , and order the number of date claim settled in descending order .",mark bar data settlements encoding x date_claim_settled y aggregate count date_claim_settled transform sort y desc bin x by weekday
553@x_name@ASC,college_1,Bar,Medium,"Visualize BAR SELECT CRS_CODE , count(*) FROM CLASS GROUP BY crs_code ORDER BY CRS_CODE ASC","Visualize a bar chart for how many sections does each course has ? , I want to order by the bars in asc .",mark bar data class encoding x crs_code y aggregate count crs_code transform group x sort x asc
1220@x_name@ASC,dorm_1,Bar,Hard,"Visualize BAR SELECT city_code , avg(age) FROM student WHERE sex = 'M' GROUP BY city_code ORDER BY city_code ASC","What is the average age of male students in each city ? Draw a bar chart , display by the city_code in ascending please .",mark bar data student encoding x city_code y aggregate mean age transform filter sex = 'm' group x sort x asc
1339@x_name@ASC,employee_hire_evaluation,Line,Easy,"Visualize LINE SELECT Start_from , Employee_ID FROM hiring ORDER BY Start_from ASC","Show me about the change of Employee_ID over Start_from in a line chart , order by the X-axis in ascending .",mark line data hiring encoding x start_from y aggregate none employee_id transform sort x asc
